INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222648862,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,288,0,2022-02-05 18:25:00,2022,2,Saturday,18,,WASHINGTON ST,0,0,"(0, 0)"
222201764,724,,AUTO THEFT,C6,200,0,2022-01-09 00:00:00,2022,1,Sunday,0,,W BROADWAY,42.341287504390436,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
22209348,801,,ASSAULT - SIMPLE,C6,235,0,2022-02-08 22:37:00,2022,2,Tuesday,22,,DORCHESTER AVE,0,0,"(0, 0)"
222072974,619,,LARCENY ALL OTHERS,C6,186,0,2022-01-14 15:20:00,2022,1,Friday,15,,ALLSTATE ROAD,0,0,"(0, 0)"
222055138,3201,,PROPERTY - LOST/ MISSING,E13,574,0,2022-01-23 13:15:00,2022,1,Sunday,13,,WASHINGTON ST,0,0,"(0, 0)"
222045598,2610,,TRESPASSING,B2,280,0,2022-01-21 12:30:00,2022,1,Friday,12,,DUDLEY ST,0,0,"(0, 0)"
222040102,3410,,TOWED MOTOR VEHICLE,E13,569,0,2022-02-11 00:00:00,2022,2,Friday,0,,STEDMAN ST,0,0,"(0, 0)"
222010976,1831,,SICK ASSIST,B2, ,0,2022-02-15 04:02:00,2022,2,Tuesday,4,,HIGHLAND ST,0,0,"(0, 0)"
222010971,423,,ASSAULT - AGGRAVATED,C6, ,1,2022-02-15 01:52:00,2022,2,Tuesday,1,,MASSACHUSETTS AVE,0,0,"(0, 0)"
222010970,3501,,MISSING PERSON,C11, ,0,2022-02-14 23:40:00,2022,2,Monday,23,,GIBSON ST,0,0,"(0, 0)"
222010967,3108,,FIRE REPORT,B2, ,0,2022-02-15 00:28:00,2022,2,Tuesday,0,,DUDLEY ST,0,0,"(0, 0)"
222010965,3410,,TOWED MOTOR VEHICLE,D14, ,0,2022-02-14 23:19:00,2022,2,Monday,23,,MARKET ST,0,0,"(0, 0)"
222010964,1402,,VANDALISM,B3, ,0,2022-02-14 22:36:00,2022,2,Monday,22,,GREENDALE RD,0,0,"(0, 0)"
222010962,423,,ASSAULT - AGGRAVATED,A15, ,0,2022-02-15 00:30:00,2022,2,Tuesday,0,,BUNKER HILL ST,0,0,"(0, 0)"
222010960,724,,AUTO THEFT,D4,167,0,2022-02-14 23:35:00,2022,2,Monday,23,,HARRISON AVE,0,0,"(0, 0)"
222010959,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D14, ,0,2022-02-14 23:42:00,2022,2,Monday,23,,"COMMONWEALTH AVE & HARVARD AVE
BRIGHTON  MA 02134
",0,0,"(0, 0)"
