Neighborhood,Median Income,Total Households,"$14,999 and under","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 +"
Allston,"$58,141 ","6,526","1,140",491,551,700,"1,129",639,"1,054",822
Back Bay,"$111,185 ","9,829","1,324",433,422,596,959,802,"1,393","3,900"
Beacon Hill,"$110,841 ","5,427",386,215,126,345,683,720,891,"2,061"
Brighton,"$77,625 ","22,698","3,051","1,549","1,260","1,659","3,523","2,924","4,715","4,017"
Charlestown,"$127,400 ","9,162","1,205",607,290,445,643,678,"1,523","3,771"
Dorchester,"$55,009 ","44,301","8,042","4,694","3,464","4,581","6,121","4,776","6,324","6,299"
Downtown,"$88,750 ","7,942","1,531",517,405,464,790,480,867,"2,888"
East Boston,"$60,510 ","16,565","1,910","1,496","1,146","2,257","2,907","1,881","2,488","2,480"
Fenway,"$41,041 ","11,226","3,473",944,859,884,"1,346",901,"1,208","1,611"
Hyde Park,"$72,953 ","13,147","1,805","1,043",757,"1,058","2,110","1,605","2,431","2,338"
Jamaica Plain,"$97,069 ","16,423","1,703","1,128",757,969,"1,904","1,983","3,435","4,544"
Longwood,"$42,404 ",269,59,24,39,28,41,27,51,0
Mattapan,"$55,968 ","9,173","1,439",763,827,"1,123","1,457","1,347","1,297",920
Mission Hill,"$42,803 ","6,687","1,899",602,510,641,"1,301",671,538,525
North End,"$103,999 ","5,086",286,192,190,266,825,673,"1,148","1,506"
Roslindale,"$84,604 ","11,482","1,031",721,637,"1,111","1,679","1,463","2,348","2,492"
Roxbury,"$30,534 ","19,899","6,340","2,449","2,084","2,216","2,107","1,581","1,806","1,316"
South Boston,"$111,541 ","16,730","2,068","1,176",709,872,"1,319","1,559","2,941","6,086"
South Boston Waterfront,"$153,545 ","2,628",181,87,55,94,169,281,418,"1,343"
South End,"$86,950 ","16,819","2,882","1,403",913,933,"1,790","1,022","1,833","6,043"
West End,"$97,438 ","3,558",515,229,171,245,330,322,504,"1,242"
West Roxbury,"$94,538 ","13,933","1,040","1,114",744,"1,081","1,959","1,316","3,032","3,647"
