Neighborhood,Total:,Same house 1 year ago:,Moved within same county:,Moved from different county within same state:,Moved from different state:,Moved from abroad:,,
Allston,"19,240 ","11,775 ","2,088 ","1,255 ","2,663 ","1,459 ",,
Back Bay,"17,659 ","12,449 ","1,947 ",967 ,"1,648 ",648 ,,
Beacon Hill,"9,629 ","6,675 ","1,116 ",613 ,846 ,379 ,,
Brighton,"54,937 ","39,938 ","5,278 ","5,031 ","3,287 ","1,403 ",,
Charlestown,"19,401 ","16,529 ","1,526 ",694 ,535 ,117 ,,
Dorchester,"125,045 ","107,377 ","11,138 ","3,466 ","1,658 ","1,406 ",,
Downtown,"18,189 ","12,666 ","1,579 ","1,251 ","2,040 ",653 ,,
East Boston,"46,868 ","38,545 ","5,302 ","1,395 ",989 ,637 ,,
Fenway,"33,450 ","19,349 ","4,637 ","2,219 ","4,646 ","2,599 ",,
Hyde Park,"38,453 ","35,159 ","1,980 ",582 ,545 ,187 ,,
Jamaica Plain,"40,277 ","33,179 ","3,611 ","1,256 ","1,869 ",362 ,,
Longwood,"5,347 ","3,323 ",246 ,567 ,921 ,290 ,,
Mattapan,"26,136 ","22,208 ","2,390 ",937 ,290 ,311 ,,
Mission Hill,"17,306 ","11,465 ","2,699 ",949 ,"1,223 ",970 ,,
North End,"8,715 ","5,966 ","1,427 ",669 ,512 ,141 ,,
Roslindale,"29,631 ","26,005 ","2,136 ",756 ,520 ,214 ,,
Roxbury,"53,578 ","47,617 ","3,178 ","1,245 ","1,009 ",529 ,,
South Boston,"36,192 ","29,726 ","3,836 ","1,777 ",796 ,57 ,,
South Boston Waterfront,"4,317 ","3,064 ",434 ,411 ,365 ,43 ,,
South End,"32,187 ","25,563 ","3,213 ","1,432 ","1,403 ",576 ,,
West End,"6,554 ","4,554 ",862 ,405 ,589 ,144 ,,
West Roxbury,"33,135 ","29,621 ","1,751 ","1,140 ",338 ,285 ,,
